,location,size,total_sqft,bath,balcony,price
1968,Talaghattapura,3 BHK,2106.0,3.0,2.0,126.0
1969,Bhoganhalli,3 BHK,1718.0,3.0,2.0,90.2
1970,Raja Rajeshwari Nagar,3 BHK,1530.0,3.0,2.0,57.0
1971,5th Block Hbr Layout,2 BHK,1206.0,2.0,2.0,56.0
1972,Hebbal,2 BHK,1075.0,2.0,3.0,52.0
1973,Sarjapur  Road,3 Bedroom,1200.0,3.0,1.0,95.0
1974,Tunganagara,3 BHK,1936.0,2.0,2.0,54.21
1975,Nagavara,4 BHK,2172.65,3.0,3.0,120.0
1976,Sahakara Nagar,3 BHK,1100.0,2.0,2.0,75.0
1977,BTM 2nd Stage,3 Bedroom,1260.0,5.0,1.0,185.0
1978,Hongasandra,8 Bedroom,990.0,12.0,0.0,120.0
1979,Jalahalli East,3 Bedroom,800.0,2.0,1.0,80.0
1980,Sarjapur  Road,2 BHK,1117.0,2.0,3.0,29.99
1981,Remco Bhel Layout,3 BHK,1685.0,2.0,1.0,110.0
1982,CV Raman Nagar,2 BHK,740.0,2.0,1.0,37.0
1983,Chamrajpet,4 Bedroom,1080.0,4.0,2.0,250.0
1984,Magadi Road,4 Bedroom,1500.0,2.0,2.0,93.0
1985,Banashankari,3 BHK,1800.0,3.0,2.0,115.0
1986,Yelachenahalli,3 BHK,1700.0,3.0,2.0,130.0
1987,Uttarahalli,2 BHK,850.0,2.0,2.0,37.93
1988,Hennur Road,3 BHK,1891.0,3.0,1.0,139.0
1989,Jalahalli,2 BHK,1400.0,1.0,1.0,80.0
1990,Lakshminarayana Pura,2 BHK,1172.0,2.0,2.0,82.0
1991,Electronic City Phase II,3 BHK,1400.0,2.0,2.0,40.43
1992,Sonnenahalli,2 BHK,896.0,2.0,1.0,43.75
1993,Vijayanagar,2 BHK,1180.0,2.0,2.0,65.0
1994,Basaveshwara Nagar,7 Bedroom,2460.0,7.0,1.0,350.0
1995,Chokkasandra,2 BHK,850.0,2.0,1.0,33.0
1996,Anekal,1 BHK,530.0,1.0,1.0,18.0
1997,2nd Block Hrbr Layout,3 BHK,1550.0,3.0,3.0,110.0
1998,Kanakapura,3 BHK,1699.0,3.0,3.0,97.0
1999,Bellandur,4 BHK,2025.0,4.0,3.0,109.0
2000,Ananth Nagar,1 BHK,500.0,2.0,2.0,14.0
2001,Panduranga Nagar,1 BHK,500.0,1.0,0.0,20.0
2002,Sri Venkateshpura Layout,2 BHK,1146.0,2.0,1.0,38.5
2003,Malleshwaram,3 BHK,2475.0,4.0,3.0,332.0
2004,Haralur Road,2 BHK,1455.0,2.0,1.0,145.0
2005,Seegehalli,2 Bedroom,800.0,1.0,0.0,50.0
2006,Abbigere,1 BHK,765.0,2.0,2.0,30.0
2007,Lingadheeranahalli,3 BHK,1521.0,3.0,1.0,94.99
2008,Gottigere,3 BHK,1600.0,2.0,2.0,55.0
2009,Byadarahalli,3 BHK,3155.0,4.0,2.0,370.0
2010,Hebbal Kempapura,3 BHK,2900.0,4.0,3.0,240.0
2011,Jakkur Plantation,3 BHK,1765.0,3.0,3.0,105.0
2012,Kasavanhalli,3 BHK,1980.0,3.0,2.0,88.0
2013,Amruthahalli,3 Bedroom,1900.0,3.0,1.0,135.0
2014,Kaverappa Layout,2 BHK,1265.0,2.0,3.0,70.0
2015,Bommasandra,2 BHK,1034.0,2.0,3.0,40.0
2016,Kaverappa Layout,2 BHK,1012.0,2.0,1.0,59.0
2017,Electronic City,2 BHK,1070.0,2.0,1.0,54.0
2018,Mahadevpura,4 Bedroom,3555.0,4.0,1.0,230.0
2019,5th Block Hbr Layout,3 BHK,1270.0,2.0,2.0,70.0
2020,Yeshwanthpur,2 Bedroom,585.0,1.0,0.0,70.0
2021,Doddanekundi,3 BHK,2045.0,4.0,3.0,154.0
2022,Bellandur,3 BHK,1490.0,2.0,2.0,98.0
2023,Banaswadi,7 Bedroom,6150.0,6.0,1.0,830.0
2024,Mysore Road,2 BHK,883.0,2.0,1.0,40.0
2025,Yeshwanthpur,1 BHK,671.0,1.0,1.0,36.85
2026,Kammasandra,2 BHK,1156.0,2.0,2.0,32.0
2027,Haralur Road,3 BHK,2017.0,3.0,2.0,125.0
2028,Thigalarapalya,4 BHK,3122.0,6.0,2.0,235.0
2029,Ramagondanahalli,3 BHK,1635.0,3.0,1.0,62.0
2030,Sir M V Nagar,7 Bedroom,4400.0,9.0,3.0,120.0
2031,Kanakpura Road,2 BHK,1296.0,2.0,1.0,89.0
2032,Bikasipura,6 Bedroom,2400.0,4.0,2.0,280.0
2033,Budigere,2 BHK,1139.0,2.0,2.0,62.0
2034,CV Raman Nagar,2 BHK,1230.0,3.0,2.0,47.0
2035,Basaveshwara Nagar Yelahanka,1 BHK,581.91,2.0,1.0,25.0
2036,Binny Pete,2 BHK,1245.0,2.0,1.0,86.28
2037,Sidedahalli,3 Bedroom,1158.0,2.0,2.0,85.0
2038,Marathahalli,4 BHK,3951.0,4.0,2.0,220.0
2039,Electronic City,2 BHK,550.0,1.0,1.0,15.0
2040,Ramamurthy Nagar,1 BHK,360.0,1.0,1.0,26.0
2041,Electronics City Phase 1,3 BHK,1350.0,3.0,1.0,55.0
2042,Green Glen Layout,3 BHK,1670.0,3.0,2.0,120.0
2043,Akshaya Nagar,3 BHK,1600.0,2.0,2.0,65.0
2044,Horamavu Banaswadi,2 BHK,1307.0,2.0,2.0,51.6
2045,7th Phase JP Nagar,3 BHK,1050.0,2.0,1.0,57.0
2046,Hennur Road,3 BHK,1703.0,3.0,3.0,101.0
2047,Kaggalipura,3 BHK,1210.0,2.0,1.0,58.0
2048,Electronic City,2 BHK,1025.0,2.0,1.0,29.6
2049,Haralur Road,2 BHK,1140.0,2.0,2.0,43.0
2050,7th Phase JP Nagar,3 BHK,1343.0,2.0,2.0,56.41
2051,R.T. Nagar,3 BHK,1560.0,3.0,2.0,85.0
2052,Kalkere,2 BHK,925.0,2.0,2.0,51.0
2053,Kanakpura Road,3 BHK,1420.0,2.0,2.0,75.0
2054,1st Block Koramangala,2 BHK,1415.0,2.0,3.0,110.0
2055,Shree Ananth Nagar Layout,2 BHK,1210.0,2.0,2.0,60.0
2056,Yeshwanthpur,3 BHK,1852.0,3.0,2.0,160.0
2057,Hoskote,3 BHK,1250.0,3.0,2.0,50.0
2058,9th Phase JP Nagar,2 BHK,1100.0,2.0,1.0,65.0
2059,2nd Phase Judicial Layout,2 BHK,1150.0,2.0,1.0,40.25
2060,Jakkur,2 BHK,1100.0,2.0,1.0,53.35
2061,Magadi Road,2 Bedroom,1350.0,1.0,0.0,100.0
2062,Panathur,3 BHK,1546.0,3.0,2.0,99.0
2063,Ambedkar Nagar,2 BHK,1424.0,2.0,2.0,90.0
2064,Bellandur,3 BHK,1398.0,3.0,1.0,68.0
2065,Indira Nagar,3 BHK,1650.0,3.0,2.0,200.0
2066,HBR Layout,4 Bedroom,1200.0,4.0,0.0,120.0
2067,Brookefield,3 BHK,1476.0,3.0,2.0,105.0
2068,Attiguppe,2 Bedroom,500.0,2.0,1.0,70.0
2069,Magadi Road,3 BHK,1322.0,2.0,2.0,58.82
2070,Srirampuram,2 Bedroom,432.0,2.0,1.0,40.0
2071,Yemlur,2 BHK,1100.0,2.0,2.0,55.0
2072,Race Course Road,4 BHK,4750.0,5.0,3.0,600.0
2073,Sarjapur,3 BHK,1285.0,2.0,2.0,68.0
2074,Ambalipura,2 BHK,1150.0,2.0,2.0,80.0
2075,Thanisandra,3 BHK,1430.0,2.0,2.0,56.0
2076,Marathahalli,3 BHK,1350.0,2.0,2.0,62.0
2077,Gkvk Layout,3 Bedroom,1350.0,3.0,3.0,195.0
2078,Thubarahalli,2 BHK,1185.0,2.0,2.0,65.0
2079,Bannerghatta Road,3 BHK,1760.0,3.0,2.0,67.0
2080,Bank Of Baroda Colony,4 Bedroom,2400.0,5.0,2.0,350.0
2081,Kanakpura Road,2 BHK,900.0,2.0,1.0,41.0
2082,Kanakpura Road,2 BHK,1297.0,2.0,1.0,105.0
2083,Sector 1 HSR Layout,3 BHK,1840.0,3.0,2.0,155.0
2084,Ramamurthy Nagar,2 BHK,950.0,2.0,1.0,50.79
2085,Chikkabanavar,5 Bedroom,1200.0,4.0,1.0,70.0
2086,BTM 2nd Stage,2 BHK,950.0,2.0,1.0,52.0
2087,Yeshwanthpur,2 BHK,1250.0,2.0,0.0,95.815
2088,Electronic City,3 BHK,1571.0,3.0,2.0,89.0
2089,Electronic City Phase II,2 BHK,1031.0,2.0,1.0,55.0
2090,Whitefield,2 BHK,1485.0,2.0,1.0,90.0
2091,Ananth Nagar,2 BHK,1109.0,2.0,1.0,60.0
2092,Koramangala,3 BHK,2200.0,3.0,2.0,180.0
2093,Whitefield,1 BHK,950.0,1.0,1.0,50.0
2094,Laggere,3 Bedroom,1200.0,2.0,0.0,150.0
2095,Hosa Road,2 BHK,1161.0,2.0,1.0,55.15
2096,Basavangudi,3 BHK,2350.0,3.0,3.0,300.0
2097,Electronic City Phase II,2 BHK,1003.0,2.0,1.0,40.6
2098,Bank Of Baroda Colony,2 Bedroom,1350.0,2.0,1.0,185.0
2099,9th Phase JP Nagar,2 BHK,1080.0,2.0,2.0,37.0
2100,Hulimavu,2 BHK,1255.0,2.0,2.0,73.0
2101,Banaswadi,2 BHK,1250.0,2.0,0.0,60.0
2102,Brookefield,4 Bedroom,1700.0,4.0,1.0,152.0
2103,Ramamurthy Nagar,3 Bedroom,1200.0,2.0,0.0,66.0
2104,St. John's Road,2 BHK,824.0,2.0,0.0,60.0
2105,1st Phase JP Nagar,3 BHK,1875.0,3.0,1.0,167.0
2106,Bommasandra Industrial Area,3 BHK,1320.0,2.0,1.0,38.12
2107,Kothanur,5 Bedroom,9600.0,5.0,2.0,550.0
2108,Uttarahalli,3 BHK,1330.0,2.0,1.0,47.0
2109,Kaikondrahalli,3 BHK,1220.0,3.0,2.0,56.0
2110,Electronic City,3 BHK,1111.0,3.0,1.0,50.0
2111,Kothannur,2 BHK,1197.0,2.0,1.0,47.88
2112,Marathahalli,4 BHK,2519.0,5.0,2.0,185.0
2113,Doopanahalli,3 BHK,1340.0,2.0,1.0,100.0
2114,Old Madras Road,4 Bedroom,1450.0,3.0,3.0,132.0
2115,Hoodi,3 BHK,1837.0,3.0,3.0,145.0
2116,Haralur Road,4 Bedroom,1200.0,4.0,3.0,245.0
2117,Kudlu Gate,2 BHK,1238.0,2.0,3.0,55.0
2118,7th Phase JP Nagar,3 BHK,1405.0,2.0,2.0,59.01
2119,Doddaballapur,4 BHK,1690.0,3.0,2.0,80.0
2120,Sathanur,3 BHK,1620.0,2.0,1.0,110.0
2121,Kanakpura Road,3 BHK,1673.0,3.0,2.0,115.0
2122,Margondanahalli,2 Bedroom,1090.0,2.0,0.0,58.0
2123,Varthur,2 BHK,1112.0,2.0,2.0,40.0
2124,Marathahalli,3 BHK,1385.0,2.0,2.0,66.65
2125,Electronic City Phase II,2 BHK,545.0,1.0,1.0,27.0
2126,Subramanyapura,2 BHK,985.0,2.0,1.0,58.0
2127,Kanakpura Road,1 BHK,670.0,1.0,0.0,36.29
2128,Kanakpura Road,2 BHK,1080.0,2.0,1.0,37.8
2129,Hosa Road,2 BHK,1430.0,2.0,1.0,97.52
2130,Kengeri Satellite Town,2 BHK,1050.0,2.0,2.0,43.0
2131,Kumaraswami Layout,4 Bedroom,2000.0,4.0,1.0,139.0
2132,Banashankari Stage VI,4 Bedroom,4800.0,4.0,3.0,190.0
2133,ITI Layout,3 BHK,1533.0,3.0,2.0,115.0
2134,Ramamohanapuram,4 Bedroom,2800.0,3.0,2.0,500.0
2135,Malleshwaram,3 BHK,2610.0,3.0,3.0,399.0
2136,Lakshminarayana Pura,3 BHK,1750.0,3.0,2.0,150.0
2137,TC Palaya,3 Bedroom,1200.0,2.0,0.0,66.0
2138,Prithvi Layout,2 BHK,1352.0,2.0,2.0,87.5
2139,Harlur,3 BHK,1754.0,3.0,2.0,125.0
2140,Tejaswini Nagar,3 BHK,1560.0,3.0,2.0,85.0
2141,Bannerghatta,4 BHK,3012.0,6.0,2.0,268.0
2142,Whitefield,4 BHK,3584.0,4.0,3.0,199.0
2143,Channasandra,3 BHK,1470.0,2.0,1.0,90.0
2144,9th Phase JP Nagar,2 BHK,1035.0,2.0,1.0,45.0
2145,Whitefield,4 Bedroom,2400.0,5.0,3.0,329.0
2146,Kammanahalli,2 BHK,1160.0,2.0,1.0,52.0
2147,Jakkur,2 BHK,1100.0,2.0,2.0,52.0
2148,Horamavu Agara,2 BHK,1170.0,2.0,3.0,38.0
2149,Bannerghatta Road,1 BHK,595.0,1.0,1.0,31.83
2150,HSR Layout,3 BHK,1650.0,3.0,2.0,110.0
2151,1st Block Jayanagar,3 BHK,1875.0,2.0,3.0,235.0
2152,Kamakshipalya,4 BHK,800.0,4.0,1.0,80.0
2153,kanakapura road,3 BHK,1375.0,2.0,3.0,48.06
2154,Ramagondanahalli,2 BHK,1235.0,2.0,1.0,46.8
2155,Kaveri Nagar,1 BHK,750.0,1.0,2.0,25.0
2156,7th Phase JP Nagar,3 BHK,1400.0,3.0,1.0,115.0
2157,Poorna Pragna Layout,3 BHK,1270.0,2.0,2.0,50.79
2158,Bannerghatta Road,2 BHK,1105.0,2.0,1.0,51.0
2159,Sundar Ram Shetty Nagar,3 BHK,1375.0,2.0,3.0,85.0
2160,Attibele,4 Bedroom,2168.0,4.0,2.0,95.0
2161,Gottigere,8 Bedroom,1200.0,8.0,3.0,90.0
2162,Yelahanka,2 BHK,1065.0,2.0,1.0,40.84
2163,Sector 6 HSR Layout,3 Bedroom,3800.0,3.0,0.0,580.0
2164,Raja Rajeshwari Nagar,9 Bedroom,3125.0,9.0,3.0,350.0
2165,Whitefield,1 BHK,825.0,1.0,1.0,45.0
2166,Nelamangala,2 BHK,1095.0,2.0,0.0,40.0
2167,Ganga Nagar,3 Bedroom,720.0,3.0,3.0,65.0
2168,Udayapur Village,3 BHK,1440.0,2.0,2.0,60.33
2169,Electronic City,2 BHK,870.0,2.0,1.0,39.5
2170,Panathur,2 BHK,1195.0,2.0,1.0,84.0
2171,"Kirloskar layout, Basaveshwarnagar",2 BHK,1200.0,2.0,1.0,49.5
2172,Raja Rajeshwari Nagar,3 BHK,1530.0,3.0,3.0,61.2
2173,Padmanabhanagar,3 BHK,1708.0,2.0,1.0,90.5
2174,Alfa Garden Layout,2 BHK,975.0,2.0,1.0,43.0
2175,KR Puram,2 BHK,750.0,2.0,1.0,25.0
2176,Gowdanapalya,8 Bedroom,1200.0,8.0,2.0,190.0
2177,Iblur Village,3 BHK,1920.0,3.0,2.0,130.0
2178,Nagarbhavi,6 Bedroom,1200.0,5.0,2.0,240.0
2179,Thanisandra,2 BHK,1183.0,2.0,1.0,58.56
2180,Kothanur,4 Bedroom,1140.0,4.0,1.0,90.0
2181,Mico Layout,3 BHK,1550.0,2.0,2.0,65.0
2182,Kaggadasapura,2 BHK,1110.0,2.0,3.0,53.0
2183,NS Palya,8 Bedroom,1500.0,10.0,3.0,165.0
2184,Kaggadasapura,2 BHK,1105.0,2.0,1.0,38.67
2185,Anekal,3 Bedroom,1800.0,3.0,2.0,68.0
2186,2nd Phase JP Nagar,5 BHK,2800.0,4.0,2.0,200.0
2187,Bommanahalli,2 BHK,1000.0,2.0,2.0,29.9
2188,Prithvi Layout,2 BHK,1190.0,2.0,2.0,68.0
2189,2nd Stage Nagarbhavi,4 Bedroom,1350.0,4.0,1.0,200.0
2190,Hebbal,4 BHK,3067.0,4.0,2.0,230.0
2191,Sarjapur  Road,3 BHK,1929.0,4.0,1.0,103.0
2192,Ramamurthy Nagar,3 BHK,1525.0,3.0,1.0,100.0
2193,Nehru Nagar,3 BHK,1775.0,3.0,3.0,110.0
2194,Banashankari,2 BHK,1125.0,2.0,1.0,63.0
2195,Hessarghatta,2 BHK,900.0,2.0,2.0,42.0
2196,Sarjapur  Road,2 BHK,1155.0,2.0,1.0,58.0
2197,Hulimavu,4 Bedroom,1200.0,4.0,0.0,75.0
2198,Sonnenahalli,2 BHK,1268.0,2.0,1.0,73.0
2199,Hoodi Layout,3 BHK,1500.0,3.0,2.0,88.0
2200,Electronic City,1 BHK,630.0,1.0,1.0,47.0
2201,Seegehalli,3 BHK,1525.0,3.0,2.0,65.0
2202,Kaggadasapura,2 BHK,1060.0,2.0,2.0,48.0
2203,Lingadheeranahalli,3 BHK,1687.0,3.0,3.0,127.0
2204,Thanisandra,3 BHK,1847.0,3.0,2.0,123.0
2205,Begur Road,3 BHK,1410.0,2.0,3.0,53.0
2206,7th Phase JP Nagar,2 BHK,1075.0,2.0,1.0,42.99
2207,Rajaji Nagar,4 BHK,3526.0,4.0,3.0,492.0
2208,BTM Layout,3 Bedroom,3000.0,3.0,0.0,338.0
2209,Basavangudi,3 BHK,1500.0,2.0,1.0,143.0
2210,Gaundanapalya,2 BHK,1010.0,2.0,2.0,46.0
2211,Haralur Road,3 BHK,1875.0,3.0,3.0,110.0
2212,Arasanakunte,5 Bedroom,1200.0,6.0,3.0,137.0
2213,Kanakpura Road,2 BHK,983.0,2.0,1.0,50.6
2214,Kasturi Nagar,2 BHK,1101.0,2.0,2.0,65.0
2215,Laxmi Sagar Layout,2 BHK,1140.0,2.0,1.0,76.0
2216,Sarjapur  Road,2 BHK,1215.0,2.0,2.0,110.0
2217,Kengeri Satellite Town,2 BHK,1007.0,2.0,3.0,42.0
2218,Bellandur,3 BHK,2039.0,3.0,2.0,168.0
2219,Ulsoor,3 BHK,1020.0,3.0,2.0,110.0
2220,Outer Ring Road East,2 BHK,1198.0,2.0,1.0,84.0
2221,5th block Koramangala,4 BHK,4000.0,4.0,1.0,520.0
2222,Nelamangala,4 Bedroom,1470.0,4.0,2.0,34.5
2223,JakkurYelahanka,2 BHK,1370.0,2.0,2.0,75.0
2224,Yemlur,2 BHK,1316.0,2.0,3.0,55.5
2225,Kaggadasapura,3 BHK,1350.0,3.0,1.0,55.5
2226,Gunjur Palya,2 BHK,1050.0,2.0,1.0,43.0
2227,KR Puram,3 BHK,1005.03,3.0,0.0,47.405
2228,Electronic City,2 BHK,921.0,2.0,1.0,34.0
2229,Kundalahalli,2 BHK,1010.0,2.0,1.0,49.27
2230,KR Puram,2 BHK,1015.0,2.0,1.0,43.0
2231,TC Palaya,3 Bedroom,1200.0,2.0,0.0,66.5
2232,Lakshminarayana Pura,2 BHK,1179.0,2.0,1.0,75.0
2233,Anjanapura,4 BHK,1850.0,4.0,2.0,86.0
2234,Kammasandra,2 BHK,870.0,2.0,1.0,24.0
2235,Bellandur,3 BHK,1605.0,3.0,2.0,85.0
2236,Banashankari Stage VI,4 Bedroom,2800.0,4.0,2.0,89.0
2237,Malleshwaram,3 BHK,2475.0,4.0,3.0,320.0
2238,Ngef Layout,2 Bedroom,3000.0,2.0,0.0,510.0
2239,Bileshivale,6 Bedroom,2400.0,7.0,2.0,110.0
2240,2nd Phase JP Nagar,2 BHK,1000.0,1.0,1.0,55.0
2241,Ramamurthy Nagar,2 Bedroom,1200.0,2.0,0.0,80.0
2242,Manjunatha Layout,2 Bedroom,1200.0,2.0,2.0,125.0
2243,Kammasandra,2 Bedroom,1200.0,2.0,1.0,66.0
2244,Kashi Nagar,2 BHK,1200.0,2.0,2.0,50.0
2245,Hennur,2 BHK,1255.0,2.0,1.0,57.5
2246,Hosur Road,2 BHK,1085.0,2.0,2.0,30.38
2247,Kanakpura Road,3 BHK,1592.0,3.0,3.0,125.0
2248,B Narayanapura,2 BHK,1313.0,2.0,1.0,58.27
2249,Kogilu,3 BHK,1934.0,3.0,2.0,150.0
2250,Harlur,2 BHK,1200.0,2.0,1.0,49.5
2251,Uttarahalli,6 BHK,3600.0,6.0,2.0,120.0
2252,Old Madras Road,2 BHK,935.0,2.0,1.0,45.0
2253,Bommasandra,2 BHK,877.0,2.0,2.0,30.0
2254,Ashwathnagar,2 BHK,936.0,2.0,2.0,42.0
2255,Nagasandra,3 BHK,1470.0,2.0,2.0,110.0
2256,Upkar Layout,1 Bedroom,1050.0,1.0,1.0,70.0
2257,Hennur Road,2 BHK,1232.0,2.0,0.0,69.61
2258,Ambedkar Nagar,3 BHK,2225.0,4.0,2.0,169.0
2259,Sunkadakatte,3 Bedroom,1200.0,2.0,0.0,80.0
2260,Dasarahalli,3 BHK,1901.0,3.0,2.0,119.0
2261,Sarjapur  Road,3 BHK,1819.0,3.0,2.0,100.0
2262,HOSUR MAIN ROAD,3 BHK,1464.0,3.0,2.0,56.0
2263,Banashankari,1 Bedroom,2400.0,788.0,3.0,460.0
2264,Old Madras Road,4 BHK,3630.0,6.0,0.0,200.5
2265,9th Phase JP Nagar,4 BHK,5000.0,4.0,3.0,290.0
2266,Someshwara Layout,4 BHK,1200.0,4.0,3.0,169.0
2267,Kacharakanahalli,2 BHK,1256.0,2.0,1.0,60.0
2268,7th Phase JP Nagar,2 BHK,1100.0,2.0,2.0,44.0
2269,TC Palaya,4 Bedroom,4800.0,3.0,3.0,302.0
2270,Kothanur,3 BHK,1435.0,3.0,3.0,70.0
2271,6th Phase JP Nagar,4 BHK,3245.0,4.0,3.0,250.0
2272,Sarjapur  Road,3 BHK,1845.0,4.0,1.0,110.0
2273,Jigani,3 Bedroom,2400.0,4.0,1.0,130.0
2274,HSR Layout,2 BHK,1140.0,2.0,2.0,46.0
2275,Ulsoor,2 BHK,1200.0,2.0,0.0,60.0
2276,Talaghattapura,3 BHK,2254.0,3.0,2.0,170.0
2277,Frazer Town,3 BHK,1750.0,3.0,2.0,150.0
2278,Jalahalli West,2 BHK,1020.0,2.0,1.0,37.0
2279,Bommanahalli,1 BHK,515.0,1.0,1.0,25.0
2280,Lingadheeranahalli,3 BHK,1893.0,3.0,2.0,140.0
2281,Vasanth nagar,3 BHK,3025.0,3.0,0.0,500.0
2282,Suddaguntepalya,2 BHK,830.0,2.0,0.0,34.0
2283,Singasandra,2 Bedroom,600.0,2.0,1.0,36.5
2284,Bisuvanahalli,3 BHK,1075.0,2.0,1.0,90.0
2285,Kathreguppe,4 Bedroom,3200.0,4.0,2.0,1200.0
2286,Kasavanhalli,2 BHK,1200.0,2.0,1.0,78.0
2287,Sarjapur  Road,2 BHK,1233.0,2.0,2.0,77.65
2288,Bannerghatta Road,2 BHK,1255.0,2.0,2.0,65.26
2289,Begur Road,2 BHK,1200.0,2.0,2.0,37.8
2290,Varthur,3 BHK,2145.0,3.0,2.0,175.0
2291,1st Phase JP Nagar,5 Bedroom,1500.0,5.0,3.0,85.0
2292,Kothannur,2 BHK,740.0,2.0,1.0,34.0
2293,Kengeri,3 BHK,1250.0,3.0,3.0,48.0
2294,Channasandra Layout,2 BHK,1210.0,2.0,2.0,40.0
2295,Sarjapur  Road,3 BHK,1525.0,2.0,2.0,60.0
2296,Kogilu,1 Bedroom,540.0,1.0,0.0,36.0
2297,Tumkur Road,3 BHK,1240.0,2.0,1.0,84.0
2298,Subramanyapura,3 BHK,1245.0,2.0,1.0,68.0
2299,HAL 3rd Stage,3 Bedroom,1865.0,3.0,3.0,350.0
2300,Hosa Road,2 BHK,1004.0,2.0,0.0,36.43
2301,Bisuvanahalli,3 BHK,1075.0,2.0,1.0,35.99
2302,Nagavara,2 BHK,2200.0,2.0,1.0,55.0
2303,Whitefield,2 BHK,1155.0,2.0,1.0,60.0
2304,Doctors Layout,2 BHK,1520.0,2.0,3.0,62.0
2305,Thigalarapalya,4 BHK,3122.0,6.0,2.0,245.0
2306,Harlur,2 BHK,1290.0,2.0,1.0,85.0
2307,1st Block HRBR Layout,3 BHK,2300.0,3.0,3.0,80.0
2308,Kannamangala,4 Bedroom,3000.0,4.0,0.0,200.0
2309,Whitefield,4 BHK,361.33,4.0,3.0,270.0
2310,Austin Town,1 BHK,400.0,1.0,0.0,14.0
2311,Banashankari,3 BHK,1340.0,2.0,3.0,53.6
2312,Malleshwaram,2 BHK,900.0,2.0,1.0,95.0
2313,Rajaji Nagar,6 Bedroom,1800.0,4.0,3.0,324.0
2314,Hennur Road,2 BHK,987.0,2.0,1.0,49.0
2315,Old Madras Road,3 BHK,1720.0,3.0,2.0,100.0
2316,Hebbal,2 BHK,1040.0,2.0,1.0,50.0
2317,Anandapura,2 Bedroom,900.0,2.0,0.0,64.0
2318,Raja Rajeshwari Nagar,2 BHK,1030.0,2.0,1.0,50.0
2319,Neeladri Nagar,3 BHK,2556.0,3.0,2.0,133.0
2320,Basavangudi,3 BHK,1850.0,3.0,1.0,168.0
2321,Kaval Byrasandra,4 Bedroom,750.0,4.0,3.0,110.0
2322,Balagere,2 BHK,1028.0,2.0,1.0,31.86
2323,7th Phase JP Nagar,2 BHK,1270.0,2.0,1.0,83.0
2324,Sahakara Nagar,3 BHK,1655.0,3.0,1.0,115.0
2325,Electronics City Phase 1,2 BHK,940.0,2.0,1.0,40.0
2326,Domlur,2 BHK,1050.0,2.0,2.0,85.0
2327,Rajagopala Nagar,4 Bedroom,600.0,4.0,1.0,40.0
2328,Vishwapriya Nagar,2 BHK,946.0,2.0,1.0,38.0
2329,CV Raman Nagar,3 BHK,1726.0,3.0,3.0,145.0
2330,Sarakki Nagar,3 BHK,2121.0,4.0,3.0,253.0
2331,Vittasandra,2 BHK,1404.0,2.0,1.0,75.0
2332,Sarjapur,3 BHK,1525.0,2.0,2.0,48.0
2333,Kengeri,2 BHK,1025.0,2.0,2.0,57.0
2334,Bahubali Nagar,5 Bedroom,1575.0,4.0,0.0,150.0
2335,RMV 2nd Stage,2 BHK,860.0,1.0,1.0,43.0
2336,Talaghattapura,3 BHK,1223.0,2.0,1.0,42.81
2337,Lottegolla Halli,4 BHK,3750.0,3.0,3.0,550.0
2338,Kothannur,2 BHK,1197.0,2.0,1.0,47.8
2339,Garudachar Palya,2 BHK,1150.0,2.0,1.0,52.75
2340,Kodbisanhalli,4 Bedroom,4800.0,5.0,3.0,629.0
2341,R.T. Nagar,2 BHK,1040.0,2.0,2.0,46.0
2342,Banashankari,2 BHK,1310.0,2.0,2.0,80.0
2343,Uttarahalli,3 BHK,1788.0,3.0,2.0,98.34
2344,Raja Rajeshwari Nagar,2 BHK,1144.0,2.0,2.0,38.55
2345,Anjanapura,2 BHK,1070.0,2.0,2.0,39.0
2346,Nandini Layout,2 BHK,1200.0,2.0,2.0,70.0
2347,Ambedkar Nagar,3 BHK,1862.0,3.0,2.0,120.0
2348,Margondanahalli,2 Bedroom,1200.0,2.0,1.0,58.5
2349,Begur Road,2 BHK,970.0,2.0,2.0,27.0
2350,Kasavanhalli,3 BHK,1646.0,3.0,2.0,79.5
2351,Sarjapur  Road,4 BHK,4395.0,4.0,2.0,242.0
2352,Vibhutipura Extension,5 Bedroom,1200.0,4.0,1.0,100.0
2353,Iblur Village,3 BHK,1995.0,3.0,2.0,135.0
2354,1st Block Jayanagar,4 Bedroom,2400.0,4.0,2.0,450.0
2355,Hosakerehalli,2 BHK,1085.0,2.0,1.0,47.74
2356,Budigere,2 BHK,1139.0,2.0,2.0,56.8
2357,Haralur Road,2 BHK,1092.0,2.0,2.0,44.0
2358,Pattandur Agrahara,3 BHK,1767.0,3.0,2.0,98.0
2359,HMT Layout,3 BHK,1700.0,3.0,3.0,80.0
2360,Bellandur,3 BHK,1692.0,3.0,2.0,88.0
2361,6th Phase JP Nagar,3 BHK,1645.0,3.0,3.0,100.0
2362,Uttarahalli,3 BHK,1345.0,2.0,1.0,57.0
2363,Basapura,2 BHK,1100.0,2.0,1.0,60.0
2364,Gollarapalya Hosahalli,3 BHK,1408.0,3.0,3.0,62.0
2365,Banashankari Stage III,4 Bedroom,2400.0,4.0,1.0,240.0
2366,Kadugodi,4 Bedroom,1920.0,4.0,2.0,200.0
2367,Bileshivale,5 Bedroom,6040.0,4.0,3.0,170.0
